name,address,visitor_review,blog_review
라운드서클,송파구 백제고분로42길 24 1층,154,57
레밍스,송파구 석촌호수로 268 1층 107호,471,291
아키비스트 송파점,"송파구 오금로16길 4 지하1층, 지상1층, 2층",234,71
테디뵈르하우스 롯데월드몰점,송파구 올림픽로 300 지하1층 (아쿠아리움 옆),763,224
롯데호텔월드 더 라운지 앤 바,송파구 올림픽로 240 롯데호텔 1층,1652,718
