name,address,visitor_review,blog_review
러프러프,서울 성동구 연무장길 81 401호,1145,1445
KROW 성수,서울 성동구 상원1길 35-18 지1층,253,384
베이글랜드 성수점,서울 성동구 연무장길 43-1 2층,3800,322
베통 성수 플래그십,서울 성동구 연무장7가길 8 베통 성수,4964,3527
무브모브 성수,서울 성동구 성수일로 56,2158,1178
피넛버터바나나,"서울 성동구 아차산로7길 15-8 1층,2층",4442,1107
쓰윗,서울 성동구 연무장3길 12 B1층,1106,198
라프레플루트 성수,서울 성동구 서울숲2길 8-8 2층,1096,1050
한입베이글 성수점,서울 성동구 뚝섬로 317 1층,1203,756
자연도소금빵in 성수,서울 성동구 연무장길 56-1 1층,2912,3512
