name,address,visitor_review,blog_review
온더브레드 강동,"강동구 아리수로 55 2, 3층",1698,233
카페오늘 암사점,강동구 상암로4가길 36 1층,266,312
메가MGC커피 암사역점,강동구 올림픽로 783 102호 메가커피,3582,20
스타벅스 암사역점,강동구 올림픽로 786 (암사동),178,44
카공족 암사역점,강동구 상암로 31 2층,268,13
